,price,Style,Colour,Screen Size,Special Feature,Target Audience,Shape
335,3599.0,Modern,2,1,317,,419
336,1799.0,Modern,142,4,317,,419
337,1799.0,Modern,24,186,317,,419
338,2299.0,Minimalist,32,2,317,,419
339,2199.0,Modern,32,186,1,,419
340,2499.0,Modern,142,9,317,,419
341,4499.0,Zeb- Fit920CH(Red)/ With SPO2,2,186,317,,419
342,2180.0,Modern,3,9,317,,419
343,2449.0,Modern,3,186,1,,419
344,2199.0,Modern,142,1,317,,419
345,1999.0,Modern,1,4,317,,419
346,1999.0,Modern,1,4,317,,419
347,11472.78459409594,Minimalist,1,9,317,,419
348,1999.0,Modern,5,9,317,,419
349,11472.78459409594,Modern,3,9,317,,419
350,2236.0,Minimalist,14,2,317,,419
351,1799.0,Modern,5,4,317,,419
352,1999.0,Modern,24,9,317,,419
353,3499.0,Modern,142,27,317,,419
354,3499.0,Modern,14,27,317,,419
355,1399.0,Fit 8220ch (Blue),24,1,317,,419
356,1799.0,Modern,142,186,317,,419
357,2495.0,Fastrack VOX,1,186,317,,419
358,4995.0,Modern,142,18,4,,419
359,2495.0,Reflex Curv,1,186,317,,419
360,4995.0,Modern,30,18,4,,419
361,4995.0,Modern,1,18,4,,419
362,4746.0,Modern,7,18,4,,419
363,2995.0,Modern,142,4,317,,419
364,2495.0,Reflex Curv,1,2,317,,419
365,2495.0,Reflex Curv,1,1,317,,419
366,2995.0,Modern,30,4,317,,419
367,1494.0,Modern,1,186,317,,419
368,2495.0,Fastrack VOX,1,186,317,,419
369,3495.0,Reflex Play,142,35,317,,419
370,2995.0,Modern,24,4,317,,419
371,1494.0,Modern,1,186,317,,419
372,2995.0,Modern,32,4,317,,419
373,1494.0,Modern,2,186,317,,419
374,2495.0,Fastrack VOX,1,186,317,,419
375,3495.0,Reflex Play,30,35,317,,419
376,1494.0,Modern,5,186,317,,419
377,6995.0,Modern,142,35,317,,419
378,1494.0,Modern,3,186,317,,419
379,6995.0,Modern,9,35,317,,419
380,2495.0,Fastrack VOX,1,186,317,,419
381,6995.0,Modern,30,35,317,,419
382,1599.0,Verve Neo,142,186,317,,419
383,42989.0,GPS,6,186,10,,14
384,85390.0,Modern,14,186,6,,419
385,89899.0,Modern,4,186,6,,419
386,44523.0,GPS,3,186,8,,14
387,53900.0,GPS + CELLULAR,4,186,8,,14
388,77899.0,GPS + CELLULAR,4,186,10,,419
389,43605.0,GPS,4,186,10,,14
390,82899.0,GPS + CELLULAR,4,186,10,,419
391,87203.0,Modern,2,186,6,,419
392,55955.0,GPS + CELLULAR,6,186,8,,14
393,29003.0,GPS,6,186,1,,419
394,46899.0,GPS,6,186,10,,14
395,77899.0,GPS + CELLULAR,1,186,10,,14
396,45899.0,GPS,3,186,8,,14
397,77899.0,GPS + CELLULAR,5,186,10,,14
398,82353.0,GPS + CELLULAR,5,186,10,,14
