,price,Style,Colour,Screen Size,Special Feature,Target Audience,Shape
137,3799.0,Modern,Silver,1.78 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
138,1799.0,Modern,Black,1.69 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
139,1299.0,ColorFit Pulse Grand,Black,1.69 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
140,1999.0,Modern,Jet Black,1.38 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
141,1799.0,Strap,Pink,1.69 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
142,1799.0,ColorFit Pulse 2,Grey,1.8 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
143,1799.0,Strap,Grey,1.69 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
144,1799.0,Strap,Blue,1.69 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
145,1899.0,ColorFit Pulse,Jet Black,1.4 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
146,1999.0,ColorFit Pulse Grand,Pink,1.69 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
147,1999.0,Modern,Blue,1.85 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
148,3499.0,ColorFit Ultra 2 Buzz,Black,1.78 ,Bluetooth,"Unisex Teen, Unisex Adult",sqaure
149,2999.0,ColorFit Pro 4,Black,1.72 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
150,3499.0,Modern,Copper Brown,1.69 ,"Distance Tracker, Alarm Clock","Unisex Teen, Unisex Adult",sqaure
151,1799.0,Strap,Green,1.69 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
152,3499.0,Modern,Jet Black,1.69 ,Alarm Clock,"Unisex Teen, Unisex Adult",sqaure
153,1999.0,ColorFit Pulse Buzz,Pink,1.69 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
154,1999.0,Modern,Black,1.85 ,bluetooth,"Unisex Teen, Unisex Adult",sqaure
